week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
2.15.26,report_week,BOH,550,8690,0,8690,6.14,12.45
2.15.26,report_week,FOH,971,6659,77,6736,4.76,
2.15.26,report_week,Training,142,1561,0,1561,1.10,
2.15.26,report_week,FOH Salary,0,6688,0,6688,4.72,
2.15.26,report_week,BOH Salary,0,9248,0,9248,6.53,13.25
2.15.26,report_week,OTHER,0,0,0,0,0.00,
2.15.26,report_week,SUBTOTAL,1663,32845,77,32922,23.25,25.71
2.15.26,report_week,PAYROLL TAX,,6569,15,6584,4.65,
2.15.26,report_week,TOTAL LABOR,,39414,92,39507,27.90,
2.22.26,last_year,BOH,675,11274,0,11274,5.13,10.70
2.22.26,last_year,FOH,1277,7705,33,7738,3.52,
2.22.26,last_year,Training,58,618,0,618,0.28,
2.22.26,last_year,FOH Salary,0,6064,0,6064,2.76,
2.22.26,last_year,BOH Salary,0,11395,0,11395,5.18,10.81
2.22.26,last_year,OTHER,0,1548,0,1548,0.70,
2.22.26,last_year,SUBTOTAL,2009,38604,33,38637,17.58,21.51
2.22.26,last_year,PAYROLL TAX,,7721,7,7727,3.52,
2.22.26,last_year,TOTAL LABOR,,46325,40,46364,21.09,
2.22.26,report_week,BOH,543,8603,0,8603,5.70,11.34
2.22.26,report_week,FOH,ERR,6505,77,6582,4.36,
2.22.26,report_week,Training,ERR,1462,0,1462,0.97,
2.22.26,report_week,FOH Salary,0,6088,0,6088,4.03,
2.22.26,report_week,BOH Salary,0,9798,0,9798,6.49,12.91
2.22.26,report_week,OTHER,0,0,0,0,0.00,
2.22.26,report_week,SUBTOTAL,ERR,32456,77,32533,21.55,24.25
2.22.26,report_week,PAYROLL TAX,,6491,15,6507,4.31,
2.22.26,report_week,TOTAL LABOR,,38947,92,39040,25.85,
3.1.26,last_year,BOH,730,11806,200,12005,4.89,11.39
3.1.26,last_year,FOH,1485,9424,264,9688,3.94,
3.1.26,last_year,Training,65,700,0,700,0.28,
3.1.26,last_year,FOH Salary,0,6179,0,6179,2.51,
3.1.26,last_year,BOH Salary,0,12050,0,12050,4.90,11.43
3.1.26,last_year,OTHER,0,1548,0,1548,0.63,
3.1.26,last_year,SUBTOTAL,2280,41706,464,42170,17.16,22.83
3.1.26,last_year,PAYROLL TAX,,8341,93,8434,3.43,
3.1.26,last_year,TOTAL LABOR,,50047,557,50604,20.60,
3.1.26,report_week,BOH,576,9162,0,9162,5.48,12.08
3.1.26,report_week,FOH,1132,7368,77,7445,4.45,
3.1.26,report_week,Training,57,630,0,630,0.38,
3.1.26,report_week,FOH Salary,0,6939,0,6939,4.15,
