week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
7.26.26,last_year,MGMT TOTAL,0,7338,0,7338,4.18,
7.26.26,report_week,Bonuses,0,0,0,0,0.00,
7.26.26,report_week,Comp,,1200,0,1200,0.77,
7.26.26,report_week,Salary,0,5834,,5834,3.75,
7.26.26,report_week,MGMT TOTAL,0,7034,0,7034,4.52,
8.2.26,last_year,Bonuses,0,0,0,0,0.00,
8.2.26,last_year,Comp,0,1128,0,1128,0.71,
8.2.26,last_year,Salary,0,6210,,6210,3.93,
8.2.26,last_year,MGMT TOTAL,0,7338,0,7338,4.64,
8.2.26,report_week,Bonuses,0,0,0,0,0.00,
8.2.26,report_week,Comp,,1200,0,1200,1.02,
8.2.26,report_week,Salary,0,4920,,4920,4.18,
8.2.26,report_week,MGMT TOTAL,0,6120,0,6120,5.20,
8.9.26,last_year,Bonuses,0,0,0,0,0.00,
8.9.26,last_year,Comp,0,1128,0,1128,0.64,
8.9.26,last_year,Salary,0,6210,,6210,3.53,
8.9.26,last_year,MGMT TOTAL,0,7338,0,7338,4.18,
8.9.26,report_week,Bonuses,0,0,0,0,0.00,
8.9.26,report_week,Comp,,1200,0,1200,0.77,
8.9.26,report_week,Salary,0,5834,,5834,3.75,
8.9.26,report_week,MGMT TOTAL,0,7034,0,7034,4.52,
8.16.26,last_year,Bonuses,0,0,0,0,0.00,
8.16.26,last_year,Comp,0,1128,0,1128,0.60,
8.16.26,last_year,Salary,0,6210,,6210,3.30,
8.16.26,last_year,MGMT TOTAL,0,7338,0,7338,3.89,
8.16.26,report_week,Bonuses,0,0,0,0,0.00,
8.16.26,report_week,Comp,,1200,0,1200,0.93,
8.16.26,report_week,Salary,0,4670,,4670,3.60,
8.16.26,report_week,MGMT TOTAL,0,5870,0,5870,4.53,
